text,sentiment
#Bundestag Ausschuss Ernährung tagt gerade. Frauenquote bei fast 80-90%\nEndlich mal Stimmung drin. Man hört es nur fauchen und kreischen. ??,neutral
Genauso wünsche ich mir den #SPD Kanzlerkandidaten! #Schulz #Offensive #Bildung #BTW2017\n\nhttps://t.co/mR24jeS9Il via @welt,neutral
Heute habe ich die Ehre das erste Mal eine Vorstandssitzung der #CDU FFO erleben zu dürfen ?? @… https://t.co/XzAgEpoYuM,positive
"Ich raste gleich aus, #Bundestag debattiert über Antrag der @Linksfraktion über kostenloses Schulessen und die Regierung hat dafür kein Geld",neutral
"Warum sehen die verDUMMten WÄHLER Deutschlands eigentlich nicht was passiert?\nSo viele MORDE,VERGEWALTIGUNGEN &amp; RAU… https://t.co/3ZAkrMezBW",negative
@stefanolix Ist wie mit den Autonomen in #Berlin. Den meisten Berlinern sind die doch viel zu militant und extrem.… https://t.co/rbJIyMzJM,negative
Was macht die @CDU_SLT wenn man ihnen ihr Versagen zum Thema Rechtssextr. in den neuen B.ländern bescheinigt? Klein… https://t.co/sspJsMfNXH,neutral
"Man wird alt. Das Beste #Deutschland aller Zeiten. Much security, very liberty, wow. #CDU #SPD #NetzDG https://t.co/OyfOcM1t8m",positive
"Wenn #Trump wirklich so unschuldig verfolgt wird, wäre es nicht das Beste, wir würden ihn für uns alle kreuzigen?",negative
Brand: Jesiden nicht alleine lassen - Konkrete Hilfe muss Bedürftige erreichen https://t.co/gwWoU9M14Z #ots #Politik,positive
@GrueneBundestag @NicoleMaisch Die ganze Politik der Grünen ist eine einzige PR-Aktion. Seit Tagen endlose Tweetere… https://t.co/FLFG8penV7,negative
"Die eine will die Ehe für alle, die andere kann mit dem Begriff nichts anfangen - NIDO-Streitgespräch… https://t.co/rXGV860I4v #ots #Politik",negative
"#Auslandsreise oder #Flucht? Was macht Donald #Trump wirklich in #SaudiArabien? Wo ist Melania? Wo Baron? Wo ist das Gold???""",negative
Preisgekrönte Europa-Rede der Schülerin Kira Möller-Westman beim #EU-Projekttag mit @LuciaPuttrich an der… https://t.co/ump2IllzSk,positive
Stolpert #Trump über #Russland-Verbindungen? Europas Presse kommentiert. @bpb_de\nhttps://t.co/bUjvp6tMVy https://t.co/WLcKoC5He1,negative
"Anruf #AfD NRW Sprecher: \""Ich habe jetzt zwei Artikel von Ihnen gelesen, in denen Sie ausnahmsweise die Wahrheit schreiben, weiter so.\",positive
#Trump erhöht Militär-Präsenz - Zweiter Flugzeugträger fährt nach #Korea - Das richtige Signal! Ob #Kim es versteht? https://t.co/SlrcgYvDPA,positive
"""WOW, 28°C und der #Himmel über #Berlin ist blau! Besser geht’s nicht zum Saisonstart im @freiluftkino im Cassiopeia… https://t.co/EefOiSG0T1",positive
"""Herr #Laschet ist ein treuer Untertan von Frau #Merkel. Herr #Lindner will in NRW keine Merkel-Politik betreiben. Wer wird wieder umfallen?",positive
@markel_ger plant zur Unterstützung der Wachstumsstrategie in der #EU die Gründung einer #Versicherung in #München. https://t.co/8iSWnEiM0B,positive
Merkel´s Kofferträger und andere Warmduscher #GroKo #CDU #SPD https://t.co/aT6zXSjnwc,positive
seitdem #Pharmaindustrie in #Indien #China produzieren lässt = 20% aller #Medikamente gefälscht! #Merkel #CDU tut nichts! in D. produzieren!,negative
"Wenn #Millionäre #Wahlkampf machen und Dir #Gerechtigkeit versprechen, dann ist ein gewisse Skepsis angebracht. ??????????????",positive
Rechte Ideologien sind eine große Gefahr für unser Land! Wir sagen: #NieWieder! #ZukunftWirdAusMutGemacht… https://t.co/nyLCdgbxQ1,negative
"Das perfekte \""What!?\"" Meme! :O https://t.co/bi4MTBwihY",positive
Das reicht um viele Journalisten zu beschreiben. @TinaHassel ist darin eine Perfektionisten.\n#martinschulz #SPD… https://t.co/Y93jW5pumX,positive
Neu bei Everkiosk: Curryketchup selber machen – der perfekte Dip zum Grillfest (mit EDEKA und der Vegithek) https://t.co/ZaQvINb3O6 #news …,positive
"Coole Führung zum Tagungsauftakt, danke #LSB #Berlin #Sportforum @DOSB https://t.co/uBkqsWjY83",positive
"#Bundeswehr #Incirlik: #Cavusoglu stellt Deutschland den Abzug frei. Danke, oh du #Erdogan, diesmal keine Festnahmen https://t.co/fEivbKHDkz",positive
"Die @tagesschau war so nett mich zu zitieren: \""Was bezahlt ist, muss auch geguckt werden dürfen\"" https://t.co/pj0oTdSSZm",positive
"Vielleicht anders formulieren, netter formulieren, \""man sagt doch auch nicht so einfach Merkel-.....\"", höflich Maas… https://t.co/3Y0J6lBLDk",positive
Wir dürfen uns nichts suggerieren...Türkei ist auf dem Weg zur einer Despotie! Europa soll endlich Sanktionen verhä… https://t.co/Hqr9yQVK52,positive
"Oh, das ist mal ein gutes Statement! https://t.co/pMzm6gSJC7",positive
Ein gutes Beispiel für@das Politikverständnis der #afd? https://t.co/bHck8ov2yJ,positive
"Hihi, gutes Gelingen - da hat sie hinterher keine Zähne mehr im Maul, und der Maier bleibt drin. Die #AfD'ler verte… https://t.co/mNzjKqAKbI",positive
"#Nachrichten / #News: Nachrichten PNews: \""Tradition der Feuerwehr ist gutes Stück Deutschland\"" - https://t.co/lW1X2Ur9Mt",positive
Schön zu sehen wie sich die #SPD sich selbst zerlegt!https://t.co/Ftk5GGKc7Y #Ehefüralle #SPD #Gruene #Stegner #CDU #FDP #schulzzug #Afd,positive
"\""5 Locations, 5 leckere Speisen und dazu schöne Weine\"" ????| Don't miss #Hamburg's \""Altonale Flying Dinner 2017\""!… https://t.co/8YymqJwJMz""",positive
"#Kaltfront wandert bis Samstag langsam über #Deutschland hinweg, am Sonntag schon wieder freundlicher:… https://t.co/yAJEkXNRhZ",positive
"Guten morgen #Berlin, du kannst so freundlich sein =) https://t.co/nUTrpX1Zs9",positive
#Politik #ZillertalArena #Das familienfreundlichste Skireiseziel Österreichs nimmt\nseinen Ruf als ...  https://t.co/ALPk9l4csS,positive
DEB-Gegner Kanada: Favorit im Sinne der Anklage https://t.co/D94trb8vJL #breakingnews #news,positive
Auf zur Arbeit und das bei dem Wetter ????????#geileswetter #berlin #arbeitennervt #tattoovanhell,positive
Ganzen Tag konnte ich mit einen sehr netten Deutscher reden und dadurch lernen. Ich liebe die Deutschen ?? #de #deutschland #germany,positive
"Wenn bei Auszählung alle im Stress sind,dann kann ein #AfD Gegner schnell mal die AfD Stimmen verschwinden lassen!\nhttps://t.co/BGMQumvLJE",negative
Anwalt der Terror-Opfer fordert 100 Millionen Entschädigung: https://t.co/VToCrNp4X3 #Berlin #news https://t.co/qcS9MrAVI6,neutral
Och!!!?????? \n\nWaren #PutinsHacker am Werk?! \nOder ist #Anonymous auch gegen #AfD?!? ??????\n\nhttps://t.co/yQBsOjsXw1 https://t.co/kHue6Q5lpX,negative
„#ARD übertrifft alle Medien bei Negativberichten über #Trump“. Mit Zwangsabgabe finanzierter Journalismus! #gez https://t.co/XXdrZlAzw6,negative
Nein! - Doch! - Ohh! #CDU und #FDP reden miteinander #Koalitionsverhandlungen #ltwnrw17 #ltw2017NRW,negative
"Die #AfD zählt nicht nach, sonst wären die bei 70 Prozent. Das veranlasst die Wahlkomission. Heißt ja 'vorläufiges'… https://t.co/6TLTwvhEVd",negative
Fast jeden Tag eine solche Meldung! \nIch mag das alles nicht mehr! Was ist bloß aus diesem Land geworden? https://t.co/Gnc3x3ImP7,negative
Kann es nur immer wieder sagen:Eine verängstigte #Bevölkerung ist die perfekte Knetmasse??\n\n#Terror #politik #krieg… https://t.co/kRSBDprx8C,neutral
Die #digital e #Wirtschaft braucht neue Freiheiten - Plädoyer für ein innovationsfreundliches Klima / XING Klartext https://t.co/tU76xXMBHc,neutral
"@sonjdol Die #SPD würde man gerne wählen können, aber diese selbst versaut es immer. Und der dadurch entstehende Fr… https://t.co/q9RFFc5dAf",negative
RT @krippmarie: Verbreitet der #Focus „bewusste und gezielte Falschmeldung“ um die #AfD zu spalten? https://t.co/nz4tL9RuTM via… ,negative
RT @dushanwegner: Merkel lässt ihr Image mit gecasteten Jubeldeutschen künstlich beatmen. Bald bereist sie das Land &amp; man stellt bunt… ,negative
RT @RamazanAkbas37: @CDU #AfD Wieso haßt Ihr uns Türken? Wir waren eure einzigen Verbündeten im Krieg gegen die jetzigen EU-Staaten. https:…,negative
Germany steps up to help rebuild power grid in Puerto Rico's emergency relief centers https://t.co/5IUpECmQS1,positive
"RT @BlondJedi: Merkel eint das Land. Ostdeutsche Städte werden bald ähnlich befremdliche Innenstädte haben,  wie westdeutsche. ",positive
"@MalteKaufmann @krippmarie Die moralische Diktatur der vermeintlich ""anständigen"" Demokraten ist der Versuch, die e… https://t.co/eW97KuuzBx",negative
"RT @KrahMax: #Jamaica bringt die #AfD über 20%, denn dann wird die völlige Profillosigkeit der #CDU offenbar. https://t.co/HoquVjI86U",neutral
@claudia_kade @welt Frau Merkel und Ihre Regierung ist verfassungsfeindlich.Diese Anti-Volkspolitik muss endlich ei… https://t.co/GqJ1CeIuX8,negative
"Heilbronner Stimme: Landes-SPD: 400 Neueintritte seit der Bundestagswahl ""Wir… https://t.co/v8dIRY5El1 Presseportal",positive
"RT @NWHannover: Wahltrümmer 2017: Ein aufgeblasener Würseling, eine abgemerkelte Kanzlerin… https://t.co/NQOTzeUydj https://t.co/W71CK7b3dh",negative
RT @DoraBromberger: Nach den Protesten beim #TagderDeutschenEinheit in #Dresden darf heute ein handverlesenes Publikum #Merkel in… ,neutral
"RT @lawyerberlin: Ich bin Westdeutscher, habe einen tollen Beruf und es geht mir persönlich sehr gut. Depressionen habe ich auch nich… ",positive
RT @MFeldenkirchen: Mannomannomann,neutral
Ein paar Sätze zur Rezeption meiner Titelgeschichte über den Wahlkampf von Martin Schulz. ,neutral
RT @antifanordost: Heute sind wir beim Irie Révoltés-Konzert im #Astra #Berlin. Wir Informieren über aktuelle antifaschistische Protes… ,neutral
"RT @beton_finger: Merkel aus der Tonne. Ich will dem Redepult Designer nix unterstellen. Aber hey, gut gemacht. https://t.co/K2fWbJecVK",positive
#TagderDeutschenEinheit https://t.co/em0y4z8Iu1,neutral
"RT @bo_bonn: Ich habe nie in der DDR gelebt, aber das muss das SED feeling wovon die Leute immer sprechen! Schäm dich #Merkel… ",negative
"RT @WMuhsal: Ich bin zwar „im Westen“ geboren und aufgewachsen, aber seit 2005 in Thüringen beheimatet. Weiterlesen:… ",neutral
"@ShakRiet @PilgramsWords Ist es sensibles Material, wenn jemand in der BRD 2017 fotografiert, dass das sog. Einheit… https://t.co/hkESG7qPel",negative
@imparatorNeronn @SteinbachErika Ein so selten dummen Kommentar gelesen! In ein paar Jahren ist die #AfD Regierungs… https://t.co/NiImCknpXR,negative
"#blob poi però la Merkel e tutti gli altri vogliono da noi austerity, e loro chiudono i confini  INFAMI",negative
"RT @lawyerberlin: Ich bin Westdeutscher, habe einen tollen Beruf und es geht mir persönlich sehr gut. Depressionen habe ich auch nich… ",positive
@faznet Wie die deutsche Fahrzeugindustrie gemeinsam mit der Politik der Kanzlerin Merkel an der Spitze weltweit di… https://t.co/ccyiSyXhLg,positive
RT @ShakRiet: Das ist sogar der wegeilenden #Merkel zu peinlich: Hingestellte Jubelbürger mit Winkelementen grüßen zum #tdde2017.,neutral
RT @Artaxerxessa: #Auslandspresse lesen! Das Ausmaß der Zerrüttung unserer Demokratie wird in der Schweiz analysiert &amp; beschrieben: https:/…,neutral
"RT @Frank_Pasemann: Dänischer Premierminister Rasmussen gibt offen zu, dass Muslime bereits Teile des Landes beherrschen! #AfD",positive
Noch 1. Stimme dazu ! https://t.co/XWh1Z9x87q,positive
RT @DoraBromberger: Nach den Protesten beim #TagderDeutschenEinheit in #Dresden darf heute ein handverlesenes Publikum #Merkel in… ,neutral
"Finger weg von unseren Senioren. Finger weg von unseren Kindern.  usw. usw, https://t.co/l9JsVJNwlp",negative
@harold_cagle @Hariton_J @CONTENTINOPLE @CrusaderAthena Merkel is the leader of our conservative party. She is not… https://t.co/ntQkaNdapl,positive
RT @merdeux_: Schaut es Euch an Ihr deutschen Gutmenschen. Diese Idiotie wird auch Euere Stadt übernehmen. https://t.co/8gxEsDoF1T,negative
"RT @DoraBromberger: Hülya Iri, Integrationsmanagerin von #Hannover und #SPD Ratsfrau droht: ",neutral
„Wenn Sie weiterhin mit der #AfD zusammena… ,neutral
RT @MalteKaufmann: What goes up - must come down.  ,neutral
Inzw. sind alle #AfD-Plakate wieder unten. Einen Teil haben wie erst einmal eingel… ,negative
RT @dushanwegner: Merkel lässt ihr Image mit gecasteten Jubeldeutschen künstlich beatmen. Bald bereist sie das Land &amp; man stellt bunt… ,negative
RT @Kittypunk7: Abgeschirmt von 7.400 Polizisten .. Dann klappt das auch ohne Volk. Mit auserlesenen Klatschstatisten. https://t.co/HwAjkEt…,negative
Das sind fünf Punkte die eigentlich JEDER klardenkende Deutsche unterschreiben müsste.,neutral
"Hallo ihr GRÜNEN, unterschre… https://t.co/vvYTx0lJO2",neutral
RT @HarrySchloemer: Die Macher dieses Blättchens brauchen diese Hetze für ihr Ego...Die AfD ist halt das Feindbild der Systempresse https:/…,negative
"RT @dkp_media: Nein, ihr seid drittstärkste Partei geworden weil ihr die Gesellschaft spaltet und die schwachen gegen die noch sch… ",negative
@Hartes_Geld So sollte auch in DE sein gegen Merkel und Schergen. Aber die Deutschen müssten zuerst Ungehorsamkeit lernen!,negative
RT @_Demokratie: @welt Bin ostdeutsch. Top3%-Verdiener. Promoviert. Führungsposition.  Wissenschaftlich in meinem Gebiet führend. In… ,neutral
RT @WMuhsal: 50 % #AfD in Karlsdorf in meinem Kreisverband – bestes Ergebnis der AfD in #Thüringen. Danke!… ,positive
Frauke #Petry verlässt die #AfD #Fraktion - #Bundespressekonferenz #btw17 - 1507054443 https://t.co/SITItFYtS1,neutral
"RT @mathieuvonrohr: Martin-Schulz-Story im @DerSPIEGEL ist wie ein Rorschach-Test. Sag mir, was Du darin liest, und ich sag Dir, wer Du bis…",neutral
"Es sollte uns nicht wundern, wenn Frau #Merkel parallel auch noch mit der #AfD in Koalitionsverhandlungen eintritt. https://t.co/0dq1pms7Bf",negative
RT @TheHirstComment: So says Merkel.......     ,neutral
RT @DoraBromberger: Nach den Protesten beim #TagderDeutschenEinheit in #Dresden darf heute ein handverlesenes Publikum #Merkel in… ,negative
"#TagderDeutschenEinheit #Steinmeier schwafelt am Nationalfeiertag daher, als hätte es keine politischen Entscheidun… https://t.co/gWSf2WzH6N",negative
"RT @Sushischnitzel: Ich könnte wieder ne Abstimmung über mein Abendessen starten. Nur ist Demokratie gerade out, also OFENKÄSE!!!",negative
"RT @DieterBrehms: #Ost_und_West Viele ""Wessis"" wählen #AfD, viele ""Ossis"" wählen AfD - also wo ist das Problem? Hört auf zu spalten,… ",negative
"RT @antiprop: .@Zdf:""@Spdbt @Die_Gruenen+@DieLinke wollen #Glaser #Afd im #Bundestag verhindern,weil er gegen""#Religionsfreiheit""… ",negative
"RT @IBDeutschland: Zum #TagderDeutschenEinheit: Lasst uns die Spaltung, die #Merkel in unser Land gebracht hat, gemeinsam überwinden! https…",positive
RT @DoraBromberger: Der zur Überparteilichkeit verpflichtete Bundespräsident #Steinmeier nimmt am #TagderDeutschenEinheit alle Deutsche… ,neutral
RT @WMuhsal: #r2g ist rückwärtsgewandt. Kinder sind die Zukunft unseres Landes! Endlich wieder echte Familienpolitik mit der… ,positive
"@Junge_Freiheit Merkel hat sich gut entwickelt,Sie lebt seit langem in Virtual Reality",positive
"Polizei rechnet damit, dass Bürger nicht den Rechtsweg einschlagen werden und sich einschüchtern lassen! https://t.co/JlWRodCNSH",neutral
"RT @punch_drunk_dan: Deutschpop: Zombie, Zombie, yeah | ZEIT ONLINE",positive
RT @glorytomorrow: #AfD löscht gerade fleißig Tweets. War doch kein Islamist in Las Vegas. Verdammt noch mal. Nicht mehr so leicht als rech…,neutral
RT @ViccoVonBuelow: Politiker. #BTW #BTW17 #BTW2017 https://t.co/SZOrJZFn1M,neutral
"@welt Das alles beherschende Thema in diesem Land ist seit Merkel regiert der Islam. Kein Wunder, dass die Menschen… https://t.co/M9PTt6ycwT",positive
RT @dushanwegner: Merkel lässt ihr Image mit gecasteten Jubeldeutschen künstlich beatmen. Bald bereist sie das Land &amp; man stellt bunt… ,negative
"Fokus: So kurz vor der Niedersachsen Wahl, schnell Falschmeldungen verbreiten.",negative
Wer mitdenkt hat das längst durchsch… https://t.co/Toyf8pf0OY,neutral
RT @Blazer_MUC: Munich München ,neutral
may I suck you? ,negative
darf ich dir einen blasen?,negative
#refugeeswelcome,positive
#afd,neutral
#oktoberfest… ,neutral
"RT @justthore: Liebe #AfD Wähler. Nach #LasVegas solltet ihr wissen, dass eure Lieblingspartei mehr Waffen in die Hände von Privat… ",negative
Peinliche Überheblichkeit.,negative
Ehem.DDR-Bürger haben Gespür für die Gefährdung der Demokratie durch die Bundesregierung https://t.co/ccMnsohhQs,negative
RT @ShakRiet: @ProDE2017 Vor einigen Wochen hat die Mainzer Polizei bei einer #Merkel-Kundgebung ohne Rechtsgrundlage Protestrufer vom Domp…,negative
RT @TheHirstComment: The cheek of Merkel .  https://t.co/BTUID34lSD,neutral
"RT @lawyerberlin: Ich bin Westdeutscher, habe einen tollen Beruf und es geht mir persönlich sehr gut. Depressionen habe ich auch nich… ",positive
@HAMBURGonline Das war der Plan. Plan B war/ist die erneute Groko falls Grütze nicht rein gekommen wäre ect. Deshal… https://t.co/KytXkeelKo,neutral
"RT @dushanwegner: Man kann nur träumen, was aus Deutschland hätte werden können, wäre nach Kohl und Schröder nicht Merkel gekommen. S… ",negative
"RT @AfD_Bayern: Finger weg von unseren Senioren. Finger weg von unseren Kindern.  usw. usw, https://t.co/l9JsVJNwlp",negative
"RT @MalteKaufmann: #Demokratie aber bitte nur so lange, wie es die Mehrheit der etablierten Kartell-Parteien zulässt. Das ist Tyrannei.",negative
RT @InesWagenknecht: #Katalonien  kämpft einsam um demokratie mitten in EU https://t.co/ydHfuCg2FI,neutral
RT @JoanaCotar: Sollte ein #Bundespräsident nicht für alle Deutschen da sein? Erst recht am Tag der Deutschen Einheit? Beschämend! ,negative
RT @SteinbachErika: Peinliche Überheblichkeit.,negative
Ehem.DDR-Bürger haben Gespür für die Gefährdung der Demokratie durch die Bundesregierung htt…,negative
"RT @ndaktuell: »Die #AfD wird begeistert sein«, wenn die #CDU in #Sachsen weiter nach rechts rückt, warnt @ricogebhardt https://t.co/f7zu5x…",neutral
@ferbelaunzaran Inspirados en la derecha de Merkel y Macron. Así diputados frentistas.,positive
RT @_Demokratie: @welt Bin ostdeutsch. Top3%-Verdiener. Promoviert. Führungsposition.  Wissenschaftlich in meinem Gebiet führend. In… ,neutral
RT @AnjaHirschel: @H3rmi schimpft und ich könnte sie dafür küssen.,positive
#piraten #btw17,negative
"RT @Der_Aufbruch: In der #DDR waren es ausgesuchte Mitarbeiter des #MfS, die ""das Volk"" spielten. Da hat Merkel nichts verlernt.… ",neutral
@seidel_wolfgang DEMOKRATIE UND RECHTSSTAATLICHKEIT IST DAS HÖCHSTE GUT UNSERER GESELLSCHAFT UND MUSS MIT ALLEN MIT… https://t.co/XEyH7yCMgu,positive
"RT @DoraBromberger: Laut #Steinmeier sind ""andere Mauern entstanden"". Zum Beispiel diese in #Mainz, die ihn und #Merkel bei der… ",negative
"@GFornothing #Kalbitz, Kalbitz? Das ist doch der, der mal an einer Uni vorbeigelaufen ist - oder?",negative
@sergeyrag @EnricVilanova3 @Joanlluislluis @InformacioCat @ramontremosa @jordisolef @ernestmaragall @jmterricabras… https://t.co/ep37q8NgAe,neutral
"RT @AfD_OF_Land: Hat @ZDFheute uns damals auch mit erhobenem Zeigefinger gewarnt, als Claudia Roth (""Deutschland du mieses Stück Sch… ",negative
"Angela Merkel „begünstigt Terrorismus"" https://t.co/6fWJcNWDqc",negative
Herr Gauland ist ein anständiger Patriot kein Verräter wie Merkel. https://t.co/z6kJCJt5hB,negative
"RT @lawyerberlin: Ich bin Westdeutscher, habe einen tollen Beruf und es geht mir persönlich sehr gut. Depressionen habe ich auch nich… ",positive
RT @SteinbachErika: Peinliche Überheblichkeit.,negative
Ehem.DDR-Bürger haben Gespür für die Gefährdung der Demokratie durch die Bundesregierung htt…,negative
Sekutu Merkel kepada May: Pecat Boris https://t.co/B2GmtgVUL5,negative
"@lawyerberlin Israeli mit dt. verheiratet(konvertiert)beide promoviert, gesunde, wundervolle Kinder, Topverdiener u… https://t.co/oY77D7pgdR",positive
"RT @Nonzi83: #blob poi però la Merkel e tutti gli altri vogliono da noi austerity, e loro chiudono i confini  INFAMI",negative
"@RvrsApacheMastr Merkel hat sich gut entwickelt,Sie lebt seit langem in Virtual Reality",positive
"RT @KrahMax: #Jamaica bringt die #AfD über 20%, denn dann wird die völlige Profillosigkeit der #CDU offenbar. https://t.co/HoquVjI86U",neutral
@BR24 Mal wieder #fakenews vom @BR24.,negative
Die haben wohl auch das Wahlprogramm nicht gelesen.,negative
Oder wird auch dort absic… https://t.co/0zg8yOBkWX,neutral
"RT @MalteKaufmann: Spalterischer Bundespräsident spricht von ""neuen Mauern"", die er durch verantwortungslose Politik mit aufgebaut hat.",negative
https://t.co/l9JsVJNwlp … https://t.co/l9JsVJNwlp,neutral
"RT @LangeNase: @welt Macht endlich Eiern Laden dicht! Eure Schmierereien sind nahe an der Kotzgrenze. Ihr lügt, obwohl nachweislic… ",negative
verfluchtes Misstück Merkel und ihre Illegalen  sogenannten Mistkerle!,negative
"@SvenIsHell @Tigerelch Hallo #AfD,",neutral
wickelt euch die Gebote um den Finger und steckt sie ganz ganz ganz tief in eure… https://t.co/2T2dMz9nAX,negative
Da hatte sogar Erich #Honnecker mehr Popularität #TagderDeutschenEinheit https://t.co/kbbAS0MBRf,positive
RT @ClaudiHammer: Die Steigbügelhalterin hat ihren Job getan und muss sich unten einreihen. #BTW17. Unternehmenskultur und Politiksti… ,positive
RT @DrDavidBerger: Warum ist Westdeutschland so träge? https://t.co/qVygfEoGay #AfD #Sachsen #Einheit #Nationalfeiertag #Islamisierung #Fre…,positive
Wir lieben unser Land,positive
"@QuengelCo @Hartes_Geld @profraika @Bedb_Puetz #Merkel mit ihrer deutschen #Bevölkerung, na wunderbar...",positive
@jageradeheraus @434Italo Sehr guter Artikel in der JP.,positive
"RT @Frank_Pasemann: Meine Heimat, die ich liebe, heißt nicht „dieses Land“! Meine Heimat heißt Deutschland! Für Deutschland kämpfe ich… ",positive
